episod,avg_waiting_time_car,avg_waiting_time_bicycle,avg_waiting_time_bus,avg_waiting_time_pedestrian,co2_total_kg_per_s,co2_total_kg_per_hour,reward_waiting_avg,reward_flow_avg,reward_co2_avg,reward_equity_avg,reward_safety_avg,reward_blocked_avg,reward_diversity_avg,reward_consecutive_continue_avg,reward_bus_assistance_avg,reward_next_bonus_avg,reward_skip2p1_effectiveness_avg,reward_skip2p1_incentive_avg,reward_stability_avg,safety_violations_total
99,17.83,9.15,2.26,0.35,0.24,846.98,-0.29,0.44,-0.01,-0.18,0.05,-0.0,-0.01,-0.0,0.0,0.08,0.01,-0.03,0.09,0
100,48.89,25.71,8.19,1.32,1.16,4174.6,-2.63,0.26,-0.06,-0.17,0.05,-0.01,-0.05,-0.0,-0.02,0.12,0.02,-0.02,0.07,0
101,38.91,20.82,4.22,2.84,0.29,1026.34,-1.9,0.31,-0.01,-0.17,0.05,-0.0,-0.02,-0.01,-0.01,0.06,0.01,-0.02,0.1,0
102,21.77,14.23,8.81,0.33,0.33,1177.48,-0.37,0.43,-0.02,-0.12,0.05,-0.0,0.0,-0.02,-0.02,0.03,0.0,-0.05,0.1,0
103,13.29,19.16,3.49,0.28,0.07,240.26,-0.33,0.44,-0.0,-0.14,0.05,-0.0,0.0,-0.01,0.0,0.04,0.0,-0.05,0.1,0
104,14.37,7.49,3.26,0.3,0.12,418.55,-0.1,0.48,-0.01,-0.16,0.05,-0.0,0.0,-0.01,0.0,0.05,0.0,-0.05,0.1,0
105,12.85,5.67,0.24,0.07,258.08,-0.06,0.49,-0.0,-0.19,0.05,-0.0,0.0,-0.01,0.0,0.05,0.0,-0.04,0.09,0
106,28.73,6.18,15.58,0.17,0.44,1578.71,-0.55,0.41,-0.02,-0.32,0.05,-0.0,0.0,-0.0,-0.05,0.08,0.0,-0.03,0.08,0
107,14.81,9.23,4.05,0.36,0.14,517.9,-0.31,0.44,-0.01,-0.13,0.05,-0.0,0.0,-0.01,-0.0,0.06,0.0,-0.04,0.11,0
108,36.86,5.13,13.16,0.21,0.85,3067.22,-1.36,0.32,-0.04,-0.37,0.05,-0.01,0.02,-0.0,-0.04,0.03,0.03,-0.02,0.07,0
109,13.34,5.83,3.9,0.38,0.1,356.92,-0.21,0.46,-0.0,-0.2,0.05,-0.0,0.0,-0.01,-0.0,0.05,0.0,-0.04,0.1,0
110,15.38,5.42,1.94,0.24,0.17,616.45,-0.13,0.47,-0.01,-0.24,0.05,-0.0,0.0,-0.01,0.0,0.05,0.0,-0.05,0.1,0
111,28.32,5.71,17.58,0.2,0.51,1843.9,-0.58,0.41,-0.03,-0.33,0.05,-0.0,0.0,-0.0,-0.05,0.06,0.0,-0.04,0.1,0
112,14.85,28.74,4.02,0.23,0.19,675.72,-1.09,0.34,-0.01,-0.18,0.05,-0.0,0.0,-0.01,-0.0,0.05,0.0,-0.04,0.11,0
113,16.2,6.41,1.6,0.29,0.19,670.68,-0.27,0.45,-0.01,-0.22,0.05,-0.0,0.0,-0.01,0.0,0.05,0.0,-0.04,0.1,0
114,13.5,11.61,1.5,0.27,0.12,433.97,-0.19,0.46,-0.01,-0.09,0.05,-0.0,0.0,-0.0,0.01,0.05,0.0,-0.04,0.11,0
115,14.92,17.54,2.68,1.81,0.08,299.91,-0.32,0.44,-0.0,-0.11,0.05,-0.0,0.0,-0.0,0.0,0.06,0.0,-0.03,0.12,0
116,27.99,26.72,6.88,0.62,0.43,1539.48,-0.94,0.38,-0.02,-0.08,0.05,-0.0,-0.01,-0.0,-0.01,0.08,0.0,-0.03,0.1,0
117,17.22,8.44,2.97,0.62,0.22,780.19,-0.18,0.46,-0.01,-0.18,0.05,-0.0,0.0,-0.0,0.0,0.06,0.0,-0.04,0.12,0
118,30.17,19.44,18.46,0.3,0.79,2860.55,-0.88,0.35,-0.04,-0.13,0.05,-0.0,-0.01,-0.0,-0.02,0.08,0.0,-0.04,0.09,0
119,27.22,17.95,1.26,4.45,0.29,1056.55,-1.03,0.4,-0.01,-0.12,0.05,-0.0,0.0,-0.0,0.01,0.07,0.0,-0.04,0.12,0
120,21.72,11.89,2.79,3.48,0.2,723.48,-0.51,0.44,-0.01,-0.18,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.03,0.12,0
121,25.14,10.65,3.45,1.77,0.21,765.39,-0.43,0.45,-0.01,-0.2,0.05,-0.0,-0.0,-0.0,0.0,0.07,0.0,-0.04,0.12,0
122,39.56,22.59,1.28,3.09,0.34,1221.88,-1.68,0.38,-0.02,-0.16,0.05,-0.0,-0.01,-0.0,0.0,0.08,0.0,-0.03,0.12,0
123,46.6,33.17,3.38,2.23,0.64,2290.57,-2.76,0.31,-0.03,-0.1,0.05,-0.0,-0.01,-0.0,0.0,0.06,0.0,-0.03,0.1,0
124,50.52,8.15,0.81,0.99,3564.91,-2.75,0.25,-0.05,-0.36,0.05,-0.0,-0.0,-0.0,-0.02,0.08,0.0,-0.03,0.12,0
125,19.78,7.79,1.1,0.25,884.46,-0.32,0.45,-0.01,-0.23,0.05,-0.0,-0.01,-0.01,-0.01,0.05,0.0,-0.04,0.11,0
126,16.62,20.16,0.51,0.21,738.27,-0.54,0.4,-0.01,-0.1,0.05,-0.0,-0.03,-0.01,0.0,0.05,0.0,-0.05,0.12,0
127,15.85,6.02,3.29,0.35,0.18,635.9,-0.12,0.48,-0.01,-0.23,0.05,-0.0,-0.02,-0.01,0.0,0.06,0.0,-0.05,0.11,0
128,15.36,12.51,2.22,0.38,0.19,670.97,-0.19,0.46,-0.01,-0.08,0.05,-0.0,-0.03,-0.01,-0.0,0.05,0.0,-0.05,0.12,0
129,42.75,15.64,0.68,0.99,3563.41,-1.66,0.35,-0.05,-0.24,0.05,-0.0,-0.12,-0.0,-0.04,0.06,0.01,-0.03,0.1,0
130,15.44,5.25,0.23,0.18,634.35,-0.15,0.47,-0.01,-0.24,0.05,-0.0,-0.0,-0.01,-0.03,0.07,0.0,-0.05,0.12,0
131,38.09,8.43,0.17,0.53,1914.26,-1.17,0.38,-0.03,-0.32,0.05,-0.0,0.0,-0.0,-0.01,0.12,0.01,-0.03,0.09,0
132,29.38,6.2,20.49,0.28,0.38,1355.15,-0.72,0.4,-0.02,-0.32,0.05,-0.0,-0.01,-0.01,-0.07,0.08,0.0,-0.06,0.09,0
133,40.26,36.66,11.41,0.18,0.71,2545.39,-2.69,0.23,-0.04,-0.09,0.05,-0.01,-0.03,-0.01,-0.04,0.13,0.01,-0.03,0.06,0
134,37.39,6.35,12.49,0.2,0.69,2495.39,-1.25,0.36,-0.03,-0.34,0.05,-0.01,-0.01,-0.0,-0.04,0.11,0.01,-0.03,0.08,0
135,18.69,5.24,9.88,0.22,0.21,744.22,-0.15,0.47,-0.01,-0.28,0.05,-0.0,0.0,-0.01,-0.03,0.1,0.0,-0.05,0.1,0
136,15.38,16.1,3.79,0.4,0.18,635.73,-0.36,0.43,-0.01,-0.12,0.05,-0.0,-0.01,-0.02,-0.0,0.07,0.0,-0.05,0.12,0
137,14.83,15.31,2.93,0.25,514.99,-0.3,0.44,-0.01,-0.09,0.05,-0.0,0.0,-0.01,0.0,0.1,0.0,-0.05,0.12,0
138,38.91,5.78,33.38,0.17,0.54,1926.98,-1.35,0.34,-0.03,-0.36,0.05,-0.0,-0.05,-0.01,-0.09,0.12,0.0,-0.06,0.08,0
139,18.0,6.99,5.12,0.38,0.18,653.25,-0.15,0.47,-0.01,-0.22,0.05,-0.0,-0.04,-0.0,-0.01,0.14,0.0,-0.05,0.12,0
140,16.59,12.41,3.82,0.26,0.27,970.74,-0.34,0.43,-0.01,-0.1,0.05,-0.0,-0.1,-0.0,-0.01,0.14,0.0,-0.05,0.13,0
141,15.89,19.9,5.04,0.28,0.22,807.5,-0.48,0.42,-0.01,-0.13,0.05,-0.0,-0.1,-0.01,-0.0,0.14,0.0,-0.06,0.12,0
142,16.68,17.62,5.54,0.27,0.19,668.14,-0.43,0.41,-0.01,-0.1,0.05,-0.0,-0.09,-0.01,-0.01,0.13,0.0,-0.06,0.12,0
143,14.09,8.07,1.92,0.39,0.11,379.63,-0.18,0.46,-0.01,-0.14,0.05,-0.0,-0.09,-0.01,0.01,0.11,0.0,-0.05,0.12,0
144,37.6,6.03,11.25,0.25,0.7,2529.19,-1.16,0.39,-0.04,-0.35,0.05,-0.0,-0.13,-0.0,-0.02,0.19,0.0,-0.04,0.1,0
145,15.28,8.16,3.1,0.33,0.15,534.82,-0.31,0.44,-0.01,-0.16,0.05,-0.0,-0.08,-0.01,0.0,0.1,0.0,-0.06,0.12,0
146,17.9,9.6,5.04,0.58,0.18,665.9,-0.26,0.45,-0.01,-0.16,0.05,-0.0,-0.08,-0.01,-0.0,0.09,0.0,-0.06,0.12,0
147,14.68,8.1,3.11,0.67,0.09,314.9,-0.16,0.47,-0.0,-0.14,0.05,-0.0,-0.06,-0.01,0.0,0.08,0.0,-0.06,0.12,0
148,42.09,10.14,4.76,1.09,0.66,2390.14,-1.69,0.32,-0.03,-0.31,0.05,-0.0,-0.05,-0.01,-0.01,0.08,0.0,-0.05,0.12,0
149,24.72,12.86,2.0,1.34,0.22,806.59,-0.55,0.42,-0.01,-0.17,0.05,-0.0,-0.04,-0.02,0.0,0.06,0.0,-0.04,0.12,0
150,50.62,27.24,4.31,2.71,0.85,3057.7,-2.56,0.33,-0.04,-0.17,0.05,-0.0,0.0,-0.01,-0.01,0.1,0.0,-0.04,0.12,0
151,16.78,6.88,4.7,1.01,0.06,201.53,-0.11,0.48,-0.0,-0.2,0.05,-0.0,-0.03,-0.02,-0.01,0.07,0.0,-0.05,0.13,0
152,17.74,9.95,1.97,0.84,0.18,643.31,-0.27,0.45,-0.01,-0.15,0.05,-0.0,-0.06,-0.02,0.0,0.09,0.0,-0.04,0.13,0
153,50.87,8.91,3.89,1.12,0.92,3321.2,-2.4,0.31,-0.05,-0.35,0.05,-0.0,-0.07,-0.01,-0.01,0.1,0.01,-0.04,0.12,0
154,20.51,10.43,5.0,1.62,0.14,495.46,-0.28,0.45,-0.01,-0.17,0.05,-0.0,-0.06,-0.01,-0.0,0.11,0.0,-0.06,0.12,0
155,49.89,35.12,1.61,4.55,0.38,1366.64,-2.58,0.37,-0.02,-0.11,0.05,-0.0,-0.08,-0.01,0.01,0.13,0.0,-0.03,0.12,0
156,50.28,31.62,4.33,1.23,0.51,1842.4,-2.88,0.29,-0.03,-0.13,0.05,-0.0,-0.08,-0.01,-0.01,0.14,0.0,-0.03,0.12,0
157,48.77,9.4,3.07,3.41,0.52,1888.04,-2.24,0.38,-0.03,-0.32,0.05,-0.0,-0.07,-0.01,0.0,0.1,0.0,-0.03,0.13,0
158,33.68,16.1,2.68,1.7,0.26,919.4,-0.94,0.4,-0.01,-0.19,0.05,-0.0,-0.06,-0.01,0.0,0.12,0.0,-0.04,0.12,0
159,47.99,36.99,13.79,0.77,1.19,4266.66,-3.27,0.19,-0.06,-0.09,0.05,-0.0,-0.1,-0.0,-0.02,0.16,0.0,-0.04,0.1,0
160,50.1,16.57,8.81,4.47,1.02,3672.83,-2.43,0.32,-0.05,-0.26,0.05,-0.0,-0.06,-0.01,-0.02,0.09,0.0,-0.04,0.12,0
161,17.08,14.07,7.09,0.33,0.18,657.5,-0.33,0.43,-0.01,-0.09,0.05,-0.0,0.0,-0.02,-0.02,0.09,0.0,-0.07,0.12,0
162,37.47,26.37,35.54,0.25,0.59,2135.68,-1.49,0.35,-0.03,-0.11,0.05,-0.0,-0.01,-0.02,-0.13,0.08,0.0,-0.07,0.09,0
163,17.01,8.22,5.75,0.31,0.18,649.46,-0.21,0.46,-0.01,-0.18,0.05,-0.0,0.0,-0.05,-0.01,0.05,0.0,-0.06,0.12,0
164,25.51,29.29,12.77,0.25,0.2,724.64,-1.01,0.39,-0.01,-0.1,0.05,-0.0,0.0,-0.05,-0.06,0.06,0.0,-0.07,0.1,0
165,15.04,7.32,3.33,0.35,0.1,359.4,-0.15,0.47,-0.0,-0.17,0.05,-0.0,0.0,-0.08,0.0,0.03,0.0,-0.06,0.12,0
166,39.26,43.3,33.83,0.23,0.68,2459.04,-3.53,0.18,-0.03,-0.09,0.05,-0.01,0.0,-0.04,-0.07,0.04,0.0,-0.07,0.09,0
167,42.88,5.81,29.55,0.2,1.15,4150.91,-2.24,0.22,-0.06,-0.37,0.05,-0.01,0.0,-0.02,-0.08,0.1,0.0,-0.04,0.07,0
168,32.35,27.3,19.55,0.21,0.27,971.83,-1.2,0.37,-0.01,-0.08,0.05,-0.01,0.0,-0.02,-0.11,0.04,0.0,-0.06,0.08,0
169,37.84,24.68,25.76,0.14,0.86,3110.95,-1.73,0.28,-0.04,-0.13,0.05,-0.01,0.0,-0.02,-0.06,0.08,0.0,-0.05,0.06,0
170,38.4,43.85,25.25,0.11,0.97,3498.45,-3.55,0.18,-0.05,-0.1,0.05,-0.01,0.0,-0.01,-0.08,0.12,0.0,-0.03,0.05,0
171,34.26,4.99,25.12,0.17,0.75,2716.81,-1.0,0.37,-0.04,-0.36,0.05,-0.01,-0.02,-0.0,-0.07,0.1,0.0,-0.03,0.08,0
172,23.92,12.63,10.3,0.21,0.22,792.76,-0.51,0.42,-0.01,-0.17,0.05,-0.0,-0.02,-0.01,-0.04,0.07,0.0,-0.05,0.1,0
173,25.91,9.52,15.2,0.2,0.25,911.75,-0.5,0.43,-0.01,-0.24,0.05,-0.0,-0.01,-0.01,-0.06,0.05,0.0,-0.05,0.1,0
174,13.15,5.11,1.21,0.23,0.09,331.6,-0.07,0.49,-0.0,-0.22,0.05,-0.0,-0.01,-0.01,0.01,0.06,0.0,-0.04,0.12,0
175,14.95,21.54,0.15,0.26,0.19,694.44,-0.56,0.4,-0.01,-0.14,0.05,-0.0,-0.03,-0.0,0.01,0.08,0.0,-0.02,0.11,0
176,53.76,27.39,1.31,8.05,1.0,3613.37,-3.41,0.27,-0.05,-0.2,0.05,-0.01,-0.09,-0.0,0.0,0.08,0.03,-0.0,0.11,0
177,22.23,12.46,2.84,1.58,0.18,656.59,-0.54,0.43,-0.01,-0.16,0.05,-0.0,-0.02,-0.01,-0.0,0.04,0.01,-0.03,0.12,0
178,40.63,4.77,7.24,0.15,0.81,2906.79,-1.3,0.37,-0.04,-0.39,0.05,-0.01,0.0,-0.0,-0.02,0.05,0.03,-0.01,0.09,0
179,13.71,5.26,2.97,0.24,0.17,618.25,-0.13,0.47,-0.01,-0.22,0.05,-0.0,-0.01,-0.01,0.0,0.03,0.0,-0.04,0.12,0
180,12.87,6.86,2.65,0.22,0.14,494.17,-0.09,0.48,-0.01,-0.16,0.05,-0.0,-0.01,-0.02,0.0,0.04,0.0,-0.04,0.12,0
181,12.0,5.47,1.75,0.19,0.05,165.3,-0.09,0.48,-0.0,-0.18,0.05,-0.0,-0.01,-0.02,0.0,0.05,0.0,-0.04,0.11,0
182,15.19,5.76,3.51,0.21,0.2,712.81,-0.19,0.46,-0.01,-0.23,0.05,-0.0,0.0,-0.02,-0.0,0.04,0.0,-0.05,0.11,0
183,14.93,8.38,2.96,0.19,0.18,665.79,-0.25,0.45,-0.01,-0.15,0.05,-0.0,0.0,-0.03,-0.0,0.05,0.0,-0.04,0.11,0
184,28.75,5.82,20.68,0.19,0.64,2310.84,-0.52,0.42,-0.03,-0.33,0.05,-0.0,0.0,-0.01,-0.03,0.06,0.0,-0.04,0.1,0
185,14.0,5.84,2.17,0.22,0.18,664.82,-0.13,0.47,-0.01,-0.21,0.05,-0.0,0.0,-0.02,0.0,0.04,0.0,-0.04,0.12,0
186,13.68,7.09,4.49,0.2,0.13,480.54,-0.11,0.48,-0.01,-0.16,0.05,-0.0,0.0,-0.02,-0.01,0.03,0.0,-0.05,0.12,0
187,14.32,5.33,2.58,0.2,0.11,396.06,-0.15,0.47,-0.01,-0.23,0.05,-0.0,0.0,-0.02,0.0,0.03,0.0,-0.05,0.12,0
188,15.04,5.52,2.96,0.17,0.19,667.25,-0.16,0.47,-0.01,-0.23,0.05,-0.0,0.0,-0.02,0.0,0.02,0.0,-0.05,0.12,0
189,24.66,5.57,19.16,0.19,0.37,1321.18,-0.36,0.46,-0.02,-0.3,0.05,-0.0,0.0,-0.01,-0.05,0.03,0.0,-0.05,0.1,0
190,14.18,9.08,3.86,0.17,0.16,579.92,-0.32,0.44,-0.01,-0.14,0.05,-0.0,0.0,-0.01,-0.0,0.02,0.0,-0.04,0.12,0
191,14.99,10.55,3.6,0.17,0.18,659.08,-0.27,0.45,-0.01,-0.11,0.05,-0.0,0.0,-0.01,0.0,0.04,0.0,-0.03,0.12,0
192,11.66,8.11,2.6,0.21,0.07,263.42,-0.14,0.47,-0.0,-0.11,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.03,0.12,0
193,38.44,6.42,14.04,0.79,0.52,1858.31,-1.24,0.36,-0.03,-0.35,0.05,-0.01,-0.03,-0.0,-0.05,0.2,0.01,-0.0,0.06,0
194,43.26,7.88,3.46,1.02,0.53,1892.73,-1.64,0.34,-0.03,-0.35,0.05,-0.0,0.0,-0.0,-0.0,0.1,0.0,-0.01,0.09,0
195,14.19,7.71,1.79,0.4,0.13,480.33,-0.15,0.47,-0.01,-0.15,0.05,-0.0,0.0,-0.01,0.01,0.06,0.01,-0.03,0.13,0
196,41.06,7.03,12.36,0.23,1.1,3953.18,-1.62,0.31,-0.05,-0.35,0.05,-0.01,-0.02,-0.0,-0.01,0.19,0.0,-0.0,0.05,0
197,16.2,6.62,1.51,0.52,0.17,615.19,-0.15,0.47,-0.01,-0.22,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.04,0.12,0
198,13.96,11.42,2.68,0.31,0.11,412.34,-0.25,0.45,-0.01,-0.09,0.05,-0.0,-0.01,-0.01,0.0,0.06,0.0,-0.04,0.12,0
199,15.55,13.97,2.11,0.34,0.18,659.56,-0.4,0.42,-0.01,-0.1,0.05,-0.0,-0.01,-0.01,0.0,0.08,0.0,-0.03,0.11,0
200,20.91,7.92,1.25,1.18,0.2,712.69,-0.32,0.45,-0.01,-0.24,0.05,-0.0,-0.02,-0.0,0.01,0.09,0.0,-0.03,0.11,0
